"Name","Translation"
"aabha","आभा"
"aabid","आबिद"
"aabida","आबिदा"
"aadesh","आदेश"
"aadhira","आधिर"
"aadi","आदि"
"aadil","आदिल"
"aadya","आद्या"
"aaenab","आएनाब"
"aafreen","आफरीन"
"aafrin","आफरीन"
"aaftaab","आफ्ताब"
"aagand","आगंद"
"aajad","आजाद"
"aajiv","आजीव"
"aakanksha","आकांक्षा"
"aakar","आकार"
"aakas","आकाश"
"aakash","आकाश"
"aalam","आलम"
"aaliya","आलिया"
"aamil","आमिल"
"aamin","आमिन"
"aamir","आमिर"
"aamod","आमोद"
"aamosh","आमोश"
"aamrin","आमरिन"
"aanad","आनंद"
"aanamika","आनमिका"
"aanand","आनंद"
"aanchal","आंचल"
"aanik","आनिक"
"aanil","आनिल"
"aansi","आंसी"
"aansu","आंसू"
"aanya","आन्या"
"aarati","आरती"
"aarav","आरव"
"aardhna","आरधना"
"aarif","आरिफ"
"aarifun","आरिफून"
"aarti","आरती"
"aarushi","आरुषी"
"aash","आश"
"aashia","आशिया"
"aashif","आशिफ"
"aashish","आशीष"
"aashiya","आशिया"
"aashu","आशु"
"aasif","आसिफ"
"aasim","आसिम"
"aasmin","आस्मिन"
"aastha","आस्था"
"aasu","आसु"
"aatam","आतम"
"aatif","आतिफ"
"aatikun","आतिकून"
"aatir","आतिर"
"aavesh","आवेश"
"aayana","आयना"
"aayesha","आयेशा"
"aaysha","आयशा"
"aayush","आयुष"
"abash","अबाश"
"abbal","अब्बल"
"abbas","अब्बास"
"abdul","अब्दुल"
"abdullah","अब्दुल्लाह"
"abha","आभा"
"abhaki","अभाकि"
"abhay","अभय"
"abhaysingh","अभयसिंह"
"abhi","अभि"
"abhijeet","अभिजीत"
"abhijit","अभिजित"
"abhilash","अभिलाश"
"abhilasha","अभिलाषा"
"abhimanyu","अभिमन्यु"
"abhinandan","अभिनंदन"
"abhinash","अभिनाश"
"abhinav","अभिनव"
"abhinay","अभिनय"
"abhiraj","अभिराज"
"abhisek","अभिसेक"
"abhisekh","अभिसेख"
"abhishek","अभिषेक"
"abhishekh","अभिशेख"
"abhishik","अभिशिक"
"abid","आबिद"
"abida","अबीदा"
"abishak","अबिशक"
"abrar","अबरार"
"abu","अबू"
"achin","आचिन"
"adarsh","आदर्श"
"adersen","एडरसेन"
"adesh","आदेश"
"adhish","आधिश"
"adi","आदि"
"adiba","अदीबा"
"adil","आदिल"
"aditi","अदिति"
"aditiya","अदितिया"
"aditya","आदित्य"
"adityalok","आदित्यलोक"
"adnan","अदनान"
"advik","अद्विक"
"aesha","आइशा"
"affan","आफ़्फ़ान"
"afjal","अफजल"
"afrin","आफ़्रीन"
"afsana","अफसाना"
"afsari","अफ़सारी"
"afshar","अफ़्शार"
"agyapad","अज्ञापद"
"ahamad","अहमद"
"ahmad","अहमद"
"ahmed","अहमद"
"ahsan","अहसान"
"ahupendra","आहूपेंद्र"
"aijay","आइजय"
"aishwarya","ऐश्वर्या"
"ajad","अजाद"
"ajara","अजरा"
"ajay","अजय"
"ajaypal","अजयपाल"
"ajeem","अजीम"
"ajeet","अजीत"
"ajima","अजीमा"
"ajit","अजित"
"ajkati","अजकति"
"ajmal","अजमल"
"ajmeri","अजमेरी"
"ajmit","अजमित"
"ajnabi","अजनबी"
"ajnoor","अजनूर"
"ajra","अजरा"
"akaash","आकाश"
"akansha","आकांशा"
"akash","आकाश"
"akashya","आकाश्य"
"akassh","अकाश"
"akeel","अकील"
"akhalak","अखलक"
"akhatari","अखतारी"
"akhil","अखिल"
"akhilesh","अखिलेश"
"akhlaq","अखलाक"
"akhlesh","अख्लेश"
"akhtar","अख्तर"
"akhtari","अख्तारी"
"akil","अकील"
"akilesh","अकिलेश"
"akkash","अक्काश"
"akkni","अक्कनी"
"akshay","अक्षय"
"akthari","अक्तारी"
"al0k","आलोक"
"alahbasri","अलहबसरी"
"alam","आलम"
"alaudin","अलाउदीन"
"albaksha","अलबक्षा"
"albina","अलबीना"
"aleesha","आलीशा"
"alema","आलीमा"
"alhamdi","अलहमदी"
"alia","आलिया"
"alijan","अलीजान"
"alim","आलिम"
"alima","आलिमा"
"alina","अलीना"
"alisha","आलिशा"
"aliya","अलिया"
"alka","अलका"
"allabaksh","अल्लाबक्ष"
"allaraji","अल्लाराजी"
"allauddin","अल्लाउद्दीन"
"alma","आलमा"
"almina","अलमीना"
"alok","आलोक"
"alseepa","अलसीपा"
"altmash","अल्तमश"
"aman","अमन"
"amana","अमाना"
"amandeep","अमनदीप"
"amanjeet","अमनजीत"
"amar","अमर"
"amarchand","अमरचंद"
"amardeep","अमरदीप"
"amarendra","अमरेन्द्र"
"amarin","अमरिन"
"amarjit","अमरजीत"
"amarmula","अमरमुला"
"amarnath","अमरनाथ"
"amart","अमर्त"
"amartya","अमर्त्य"
"amarvesh","अमर्वेश"
"amber","अम्बर"
"ambika","अम्बिका"
"ambiya","अम्बिया"
"ameer","अमीर"
"ameera","अमीरा"
"amena","अमीना"
"amida","अमिदा"
"amie","अमी"
"amijan","अमीजान"
"amil","अमिल"
"amin","अमीन"
"amir","अमीर"
"amiraka","अमीरका"
"amisha","अमीशा"
"amit","अमित"
"amita","अमिता"
"amitabh","अमिताभ"
"amjat","अमजत"
"amlesh","अम्लेश"
"amna","अमना"
"amol","अमोल"
"amot","अमोट"
"amrat","अम्रत"
"amratalal","अम्रतलाल"
"amreen","अमरीन"
"amri","अम्री"
"amrik","अमरिक"
"amrin","अमरीन"
"amrish","अमृश"
"amrita","अमृता"
"amritha","अमृता"
"amrjeet","अमरजीत"
"amrooti","अमृति"
"amrta","अमृत"
"anam","आनम"
"anand","आनंद"
"anandi","आनंदी"
"anandu","आनंदु"
"anantram","आनंतराम"
"ananya","अनन्या"
"anarkali","अनारकली"
"anaro","अनरो"
"anaya","अनया"
"anchal","आँचल"
"andhav","अंधव"
"aneeta","अनीता"
"anekha","अनेखा"
"angad","अंगद"
"angan","आंगन"
"angda","अंगदा"
"angreg","अंग्रेज"
"anikesh","अनिकेश"
"anikt","अनिक्त"
"anil","अनिल"
"anirudh","अनिरुद्ध"
"anisha","अनिषा"
"anishka","अनिष्का"
"anja","अंजा"
"anjal","अंजल"
"anjaly","अंजली"
"anjan","अंजन"
"anjana","अंजना"
"anjani","अंजनी"
"anjara","अंजरा"
"anjeev","अंजीव"
"anjila","अंजिला"
"anjli","अंजली"
"anjna","अंजना"
"anjrej","अंजरेज"
"anju","अंजू"
"anjuman","अंजुमन"
"ankaj","अंकज"
"ankeet","अंकीत"
"ankita","अंकिता"
"ankus","अंकुश"
"ankush","अंकुश"
"anmol","अनमोल"
"annavi","अन्नवी"
"annielal","अन्नीलाल"
"anno","अन्नो"
"annu","अन्नु"
"anooj","अनूज"
"anoop","अनूप"
"anoopama","अनूपमा"
"ansal","अंसल"
"ansar","अंसार"
"ansh","अंश"
"anshu","अंशु"
"anshul","अंशुल"
"ansu","अंसू"
"ansul","अंसुल"
"anta","अंत"
"antim","अंतिम"
"antima","अंतिमा"
"anu","अनु"
"anubhav","अनुभव"
"anudeep","अनुदीप"
"anuja","अनुजा"
"anup","अनुप"
"anupama","अनुपमा"
"anupuma","अनुपुमा"
"anuraj","अनुराज"
"anurudh","अनुरुध"
"anushka","अनुष्का"
"anuska","अनुस्का"
"anusoya","अनुसोया"
"any","एनी"
"aparna","अपर्णा"
"aphasana","अफसना"
"apsana","अप्सना"
"arab","अरब"
"aradhana","आराधना"
"arajun","अर्जुन"
"araslan","अरसलान"
"arati","आरती"
"aravind","अरविंद"
"arbaj","अरबाज"
"archana","अर्चना"
"archita","अर्चिता"
"archna","अर्चना"
"arhiyant","अर्हियंत"
"ariba","आरिबा"
"arifa","आरिफा"
"arijit","अरिजीत"
"arindom","आरिंडोम"
"arindra","आरिंद्र"
"arjina","आर्जिना"
"arjun","अर्जुन"
"armaan","अरमान"
"arman","अरमान"
"armita","अर्मिता"
"arnab","अर्णब"
"arnabjit","अर्णबजित"
"arnav","अर्णव"
"arpit","अर्पित"
"arpna","अर्पणा"
"arsad","अर्सद"
"arsh","अर्श"
"arshad","अर्शाद"
"arthi","आर्थी"
"arti","आरती"
"aru","अरु"
"aruna","अरुणा"
"arundita","अरुण्डिता"
"aruni","अरुणि"
"arunima","अरुणिमा"
"arunkumar","अरुनकुमार"
"arvind","अरविंद"
"aryan","आर्यन"
"asagar","आसगर"
"asana","आसना"
"asarfi","आसरफी"
"asfaq","असफाक"
"asgar","आसगर"
"asgari","आसगरी"
"ashak","आशक"
"ashanjali","आशांजलि"
"asharani","आशारानी"
"ashfaq","अशफाक"
"ashik","आशिक"
"ashima","आशिमा"
"ashish","आशीष"
"ashishi","आशीशी"
"ashiya","आशिया"
"ashmin","आश्मिन"
"asho","आशो"
"ashok","अशोक"
"ashrabi","आशराबी"
"ashraf","आशरफ"
"ashrfi","आशरफी"
"ashtha","आश्था"
"ashu","आशु"
"asi","आसी"
"asif","आसिफ"
"asish","आसीश"
"asiya","आसिया"
"aslam","आसलम"
"asma","आसमा"
"asman","आसमान"
"asmina","आस्मिना"
"asmit","आस्मित"
"asmita","आस्मिता"
"asrani","असरानी"
"asrf","आसर्फ"
"atif","आतिफ"
"atiq","अतिक"
"atish","आतिश"
"atitaj","अतितज"
"atta","अत्ता"
"attar","अत्तर"
"atu","आतु"
"atul","अतुल"
"avadh","अवध"
"avastha","अवस्था"
"avdesh","अवदेश"
"avdhesh","अवधेश"
"avi","आवी"
"avid","आविद"
"avinsh","अविन्श"
"avnish","अवनीश"
"avnit","अवनित"
"avtar","अवतार"
"ayan","अयन"
"ayesha","आयेशा"
"ayube","अयूब"
"ayush","आयुष"
"ayushi","आयुषी"
"baam","बाम"
"babar","बाबर"
"babbi","बाबी"
"babbu","बब्बू"
"babby","बैबी"
"babli","बबली"
"babloo","बब्लू"
"bablu","बबलू"
"babu","बाबू"
"babul","बबूल"
"babulal","बबूलाल"
"baburam","बाबुराम"
"baby","बेबी"
"baccha","बच्चा"
"bacche","बच्चे"
"bacchu","बच्चू"
"bachhu","बच्छू"
"bada","बड़ा"
"badal","बादल"
"badan","बदन"
"badri","बद्री"
"badrinath","बद्रिनाथ"
"badru","बद्रु"
"badrudeen","बदरुद्दीन"
"badrulla","बदरुल्ला"
"badrunisha","बद्रुनिशा"
"badshya","बदश्या"
"baga","बागा"
"bagaram","बगराम"
"bagga","बग्गा"
"baggusingh","बग्गूसिंह"
"bahadur","बहादुर"
"bahalen","बहालें"
"bahart","बहर्त"
"bahnu","बहनु"
"bahrat","बाहरत"
"baichan","बैचन"
"baijnath","बैजनाथ"
"bairang","बैरंग"
"baita","बैता"
"bajaj","बजाज"
"bajinder","बाजिंदर"
"bajrang","बजरंग"
"bajrangi","बजरंगी"
"bajulal","बाजूलाल"
"bake","बेक"
"bakhtvaar","बख्तवार"
"bakila","बकीला"
"bakshi","बाख़्शी"
"baksi","बक्सि"
"bal","बल"
"bala","बाला"
"balalia","बलालिया"
"balam","बालम"
"balaram","बलराम"
"balbir","बलबीर"
"balchand","बलचंद"
"baldev","बलदेव"
"bali","बाली"
"baljeet","बलजीत"
"baljinder","बलजिंदर"
"balkishan","बलकिशन"
"ballu","बल्लू"
"balmiki","बालमिकी"
"balram","बलराम"
"balveer","बलवीर"
"balvinder","बलविंदर"
"banarsi","बनारसी"
"bandana","बंदना"
"bandani","बंदनी"
"bandu","बंदू"
"banita","बनिता"
"baniya","बनिया"
"bannu","बन्नू"
"banshi","बांशी"
"bansi","बंसी"
"bansilal","बंसीलाल"
"banti","बंती"
"bantu","बंतू"
"banty","बंती"
"banu","बानू"
"bapu","बापू"
"barakha","बरखा"
"barj","बार्ज"
"barjraj","बार्जराज"
"barti","बारती"
"basant","बसंत"
"bashanti","बाशांती"
"bashudev","बशुदेव"
"basiran","बसीरां"
"basnti","बसंती"
"batasi","बाटसी"
"batloon","बाटलू"
"batu","बाटू"
"baudi","बौदी"
"bavita","बविता"
"beby","बेबी"
"bechan","बेचन"
"beekar","बीकर"
"beenu","बीनू"
"beera","बीरा"
"beeram","बीराम"
"beeru","बीरू"
"begam","बेगम"
"begumpur","बेगमपुर"
"bela","बेला"
"belo","बेलो"
"benay","बेनय"
"beni","बेनी"
"benjir","बेंजीर"
"benu","बेनू"
"beragi","बेरागी"
"beti","बेटी"
"bhabhav","भभव"
"bhabhiya","भाभीया"
"bhaddal","भाड़ाल"
"bhadur","भादुर"
"bhag","भाग"
"bhagat","भगत"
"bhagchand","भागचंद"
"bhaggo","भग्गो"
"bhagipuri","भगीपुरी"
"bhagirath","भागीरथ"
"bhagirathi","भागीरथी"
"bhagvaan","भगवान"
"bhagvati","भगवती"
"bhagwan","भगवान"
"bhahadur","भाहादुर"
"bhajandeep","भजनदीप"
"bhajju","भज्जू"
"bhala","भला"
"bhalaram","भलाराम"
"bhan","भान"
"bhani","भानी"
"bhanot","भनोट"
"bhanu","भानु"
"bhanupriya","भानुप्रिया"
"bhanvar","भंवर"
"bharat","भारत"
"bhargav","भार्गव"
"bhargava","भार्गव"
"bharkah","भार्कह"
"bharkha","भारखा"
"bharma","भर्मा"
"bhart","भारत"
"bhartendu","भरतेन्दु"
"bharti","भारती"
"bhaskar","भास्कर"
"bhasker","भास्कर"
"bhateri","भातेरी"
"bhauk","भौक"
"bhavana","भवना"
"bhavisaya","भविसय"
"bhavishya","भविष्य"
"bhavna","भावना"
"bhavuk","भावुक"
"bhavya","भाव्य"
"bhemji","भेमजी"
"bherav","भेरव"
"bhiki","भिकी"
"bhim","भीम"
"bhima","भीमा"
"bhimsen","भीमसेन"
"bhisan","भिसान"
"bhismpal","भिस्मपाल"
"bhiva","भिवा"
"bhojaram","भोजराम"
"bhojpal","भोजपाल"
"bholaram","भोलाराम"
"bholi","भोली"
"bhonu","भोनू"
"bhoopsingh","भूपसिंह"
"bhopal","भोपाल"
"bhotra","भोत्रा"
"bhram","भ्रम"
"bhramanand","भ्रमानंद"
"bhrat","भ्रात"
"bhrkat","भ्रकट"
"bhteri","भटेरी"
"bhud","भूद"
"bhudev","भुदेव"
"bhudevi","भुदेवी"
"bhudhashen","भूधशेन"
"bhudhi","भूधी"
"bhulaee","भुलाई"
"bhulan","भूलन"
"bhuli","भुली"
"bhumika","भूमिका"
"bhundki","भुंडकी"
"bhup","भूप"
"bhupen","भूपेन"
"bhupesh","भूपेश"
"bhura","भूरा"
"bhuralal","भूरालाल"
"bhure","भूरे"
"bhuri","भूरी"
"bhusan","भूषण"
"bhushan","भूषण"
"bhuvanesh","भुवनेश"
"bidami","बिदामी"
"bidur","विदुर"
"bijali","बिजली"
"bijander","बिजंदर"
"bijendra","बिजेन्द्र"
"bikki","बिक्की"
"bikram","बिक्रम"
"bilal","बिलाल"
"bilke","बिल्के"
"bilkis","बिल्किस"
"bima","बिमा"
"bimla","बिमला"
"bimlesh","बिमलेश"
"bina","बीना"
"binani","बिनानी"
"binda","बिंडा"
"binder","बिंदर"
"bindi","बिंदी"
"bindiya","बिंदिया"
"bindu","बिंदु"
"bindvasini","बिन्दवासिनी"
"binja","बिंजा"
"binnu","बिन्नू"
"bintu","बिंतु"
"binu","बीनू"
"birajbhushan","बीराजभूषण"
"biram","बिराम"
"birbal","बीरबल"
"birender","बिरेन्द्र"
"birgesh","बीरगेश"
"birij","बिरिज"
"birjesh","बिर्जेश"
"birmadevi","बिरमादेवी"
"bironica","बिरोनिका"
"birpal","बीरपाल"
"biru","बीरू"
"bishana","बिस्हना"
"bishun","बिसन"
"bisto","बिस्तो"
"bitoo","बिटू"
"bitto","बिट्टो"
"bittu","बित्तु"
"bobbi","बोब्बी"
"bobby","बॉबी"
"bobi","बोबी"
"bodh","बोध"
"bohati","बोहती"
"braham","ब्रह्म"
"brahamprakash","ब्रह्मप्रकाश"
"brahmanand","ब्रह्मानंद"
"braj","ब्रज"
"brijesh","बृजेश"
"brijlal","बृजलाल"
"brijmohan","बृजमोहन"
"bsram","बसराम"
"buddha","बुद्ध"
"buddhi","बुद्धि"
"budh","बुध"
"budhan","बुधन"
"budhi","बुधी"
"budho","बुधो"
"budhram","बुधराम"
"budhu","बुधू"
"buhan","बुहन"
"bulad","बुलाद"
"bulbul","बुलबुल"
"bulet","बुलेट"
"bunda","बुंदा"
"bunti","बुंटी"
"bunty","बंटी"
"bushra","बुश्रा"
"busness","बिजनेस"
"busra","बुसरा"
"captain","कप्तान"
"chahat","चाहत"
"chaitany","चैतन"
"chajju","चज्जू"
"chakra","चक्र"
"chama","चम्मा"
"chamanlal","चमनलाल"
"champa","चम्पा"
"chanchal","चंचल"
"chanchl","चंचल"
"chanda","चांदा"
"chandabai","चंदाबाई"
"chandan","चंदन"
"chandani","चंदनी"
"chandar","चंदर"
"chander","चंदेर"
"chanderbal","चंदेरबाल"
"chanderkala","चंद्रकला"
"chanderkali","चंद्रकली"
"chandermani","चन्द्रमणि"
"chanderpal","चंद्रपाल"
"chandini","चंदिनी"
"chandni","चांदनी"
"chandpreet","चंदप्रीत"
"chandra","चंद्रा"
"chandradev","चंद्रदेव"
"chandrakala","चंद्रकला"
"chandrashekhar","चंद्रशेखर"
"chandrika","चंद्रिका"
"chandu","चंदू"
"chappla","चप्पला"
"charan","चारण"
"charnjeet","चारनजीत"
"charu","चारु"
"chatan","चटन"
"chatar","चाटर"
"chaterpal","चटरपाल"
"chatter","चटर"
"chaturbhuj","चतुर्भुज"
"chaya","छाया"
"cheddi","चेड्डी"
"cheete","चीते"
"chet","चेत"
"chetan","चेतन"
"chetanram","चेतनराम"
"chetna","चेतना"
"chetram","चेतराम"
"chhabil","छाबिल"
"chhagan","छगन"
"chhano","छानो"
"chhanoyar","छानोयार"
"chhantu","छंटू"
"chhanya","छान्या"
"chhatar","छतर"
"chhavi","छवि"
"chhaya","छाया"
"chhedilal","छेड़ीलाल"
"chhitar","छितर"
"chhotelal","छोटेलाल"
"chhoti","छोटी"
"chhotudevi","छोटुदेवी"
"chinki","चिंकी"
"chinku","चिंकू"
"chinta","चिंता"
"chintu","चिंटू"
"chinu","चीनू"
"chirag","चिराग"
"chitprit","चितप्रीत"
"chitra","चित्र"
"chitrangada","चित्रांगदा"
"chitrangan","चित्रांगन"
"chitro","चित्रो"
"chitu","चिटू"
"chnada","चंदा"
"chnda","चंदा"
"chndrakla","चंद्रकला"
"chom","चोम"
"chootu","चूटू"
"chopra","चोप्र"
"chorag","चोरग"
"chotan","चोटन"
"chote","चोटे"
"chotelal","चोटेलाल"
"chotibai","छोटीबाई"
"chotti","छोट्टी"
"chottu","छोट्टू"
"choturam","छोटूराम"
"chran","चरण"
"chtar","चटार"
"chtarpal","चटारपाल"
"chumki","चुमकी"
"chuni","चुनी"
"chunnu","चुन्नू"
"chura","चूरा"
"constable","कांस्टेबल"
"cosmic","ब्रह्मांडीय"
"dabbu","डब्बू"
"dabu","दबू"
"dakch","डाक्च"
"daksh","दक्ष"
"dakshesh","दक्षेश"
"dakshina","दक्षिणा"
"dakshya","दक्ष्य"
"dal","दल"
"dalchand","दलचंद"
"daler","डालर"
"dalima","डलीमा"
"dalip","डालीप"
"daljeet","डालजीत"
"daljit","डालजीत"
"dalpat","दलपत"
"dama","दमा"
"daman","दामन"
"damini","दामिनी"
"damodar","दामोदर"
"dana","दना"
"daniel","डैनियल"
"danish","दानिश"
"danista","दानिस्ता"
"dara","दरा"
"darfasha","दार्फ़शा"
"darkash","दर्काश"
"darshan","दर्शन"
"darshana","दर्शना"
"darshna","दर्शना"
"dasharath","दशरथ"
"data","डेटा"
"dataterya","डेटाटेर्या"
"dauad","दावद"
"dauji","दाऊजी"
"daulat","दौलत"
"daveena","दवीना"
"davender","दवेन्द्र"
"davendra","दवेन्द्र"
"daya","दया"
"deeksha","दीक्षा"
"deelip","दीलीप"
"deen","दीन"
"deepa","दीपा"
"deepaak","दीपाक"
"deepak","दीपक"
"deepali","दीपाली"
"deepanker","दीपांकेर"
"deepanshi","दीपांशी"
"deepanti","दीपांति"
"deepchand","दीपचंद"
"deepi","डीपी"
"deepika","दीपिका"
"deepka","डीपका"
"deepmala","दीपमाला"
"deepnarayan","दीपनारायण"
"deepshikha","दीपशिखा"
"deepti","दीप्ति"
"deepu","दीपु"
"deepvhand","दीपव्हंड"
"deeraj","दीराज"
"deerendra","दीरेंद्र"
"deeya","दीया"
"denesh","देनेश"
"deou","डेओउ"
"depali","देपाली"
"depander","डीपांडर"
"deshraj","देशराज"
"dev","देव"
"devansh","देवांश"
"devanti","देवांती"
"devashish","देवशीष"
"devasish","देवासीष"
"devendr","देवेंद्र"
"devendra","देवेंद्र"
"devendri","देवेंद्री"
"devesh","देवेश"
"devid","देविद"
"devideen","देवीदीन"
"devik","देवीक"
"devika","देवीका"
"devilal","देवीलाल"
"devinder","देविन्दर"
"devkali","देवकली"
"devki","देवकी"
"devkran","देवक्रान"
"devli","देवली"
"devpal","देवपाल"
"devya","देव्या"
"devyani","देव्यानी"
"dewan","देवान"
"deyji","देयजी"
"dhakhadevi","धाखादेवी"
"dhamender","धामेंद्र"
"dhamini","धामिनी"
"dhan","धन"
"dhananjai","धनंजय"
"dhananjay","धनंजय"
"dhani","धनी"
"dhanjay","धनजय"
"dhanna","धन्ना"
"dhanpat","धनपति"
"dhanpati","धनपति"
"dhanraj","धनराज"
"dhanu","धनु"
"dhapu","धापू"
"dhara","धरा"
"dharam","धर्म"
"dharamender","धर्मेंद्र"
"dharamveer","धर्मवीर"
"dharamvir","धर्मवीर"
"dharm","धर्म"
"dharma","धर्मा"
"dharmbir","धर्मबीर"
"dharmender","धर्मेंद्र"
"dharmendera","धर्मेन्द्र"
"dharmendra","धर्मेन्द्र"
"dharminder","धर्मिंद्र"
"dharmpal","धर्मपाल"
"dharmraj","धर्मराज"
"dharmshila","धर्मशीला"
"dharvesh","धर्मवेश"
"dheeraj","धीरज"
"dheerendra","धीरेंद्र"
"dhermendra","धर्मेन्द्र"
"dhirpal","धीरपाल"
"dhiru","धीरू"
"dhisa","धिसा"
"dhmendar","धमेंद्र"
"dhodi","धोड़ी"
"dhola","धोला"
"dhrama","धरमा"
"dhrambir","धर्मबीर"
"dhrampal","ध्रमपाल"
"dhrampla","धर्मप्ला"
"dhramveer","धर्मवीर"
"dhreej","ध्रीज"
"dhrmveer","धर्मवीर"
"dhruv","ध्रुव"
"dhulin","धूलिन"
"dhurender","धुरेन्द्र"
